Run.order,sample.id,target_CO2_conc_ppm,target_d13C,sample_run,picarro.id,Rundate,Runtime,Position,12CO2_mean,12CO2_stdev,13CO2_mean,13CO2_stdev,Delta_30s_iCO2_mean,Delta_30s_iCO2_stdev,H2O,OutletValve,ChemDetect,notes
1,STD-305,1778,902.2,"24HR, 48HR",STD-305,20230601,213422,1,1288,8,25,0,689,2,1,25349,0,
2,STD-593,667,902.2,"24HR, 48HR",STD-593,20230601,214923,2,927,4,18,0,686,3,1,25230,0,
3,zeroair,,,"24HR, 48HR",ZEROAIR,20230601,220423,3,16,3,0,0,80,16,0,25130,0,
4,STD-930,1778,-25,"24HR, 48HR",STD-930,20230601,221924,4,1928,12,21,0,-24,0,0,25117,0,
5,STD-972,444,1829.4,"24HR, 48HR",STD-972,20230601,223425,5,316,1,9,0,1615,18,0,25104,0,
6,STD-563,1778,3312.9,"24HR, 48HR",STD-563,20230601,224926,6,1604,9,74,0,3082,6,0,25044,0,
7,STD-850,1778,1829.4,"24HR, 48HR",STD-850,20230601,230426,7,1192,5,36,0,1683,4,0,25001,0,
8,STD-877,1333,-25,"24HR, 48HR",STD-877,20230601,231927,8,1216,5,13,0,-19,1,0,24907,0,
9,STD-584,1778,2756.6,"24HR, 48HR",STD-584,20230601,233427,9,1332,6,57,0,2756,6,0,24855,0,
10,STD-877a,1333,3312.9,"24HR, 48HR",STD-877,20230601,234928,10,856,3,39,0,3055,10,0,24801,0,
11,STD-34,1333,2756.6,"24HR, 48HR",STD-34,20230602,429,11,962,3,41,0,2741,7,0,24775,0,
12,STD-191,222,-25,"24HR, 48HR",STD-191,20230602,1929,12,204,1,2,0,7,4,0,24780,0,
1,STD-240,667,1829.4,"48HR, 72HR",STD-240,20230608,142156,1,588,0,19,0,1852,3,0,23961,0,
2,STD-228,2222,3312.9,"48HR, 72HR",STD-228,20230608,143657,2,2179,3,101,0,3104,1,0,23761,0,
3,STD-023,2222,1829.4,"48HR, 72HR",STD-023,20230608,145158,3,2035,3,66,0,1883,0,0,23722,0,
4,STD-662,1333,-25,"48HR, 72HR",STD-662,20230608,150658,4,986,2,11,0,-11,1,0,23769,0,
5,STD-052,1333,2756.6,"48HR, 72HR",STD-052,20230608,152159,5,1156,1,50,0,2838,2,0,23591,0,
6,STD-584,889,3312.9,"48HR, 72HR",STD-584,20230608,153700,6,789,1,36,0,3072,3,0,23664,0,
7,STD-236,222,902.2,"48HR, 72HR",STD-236,20230608,155201,7,221,1,5,0,1015,1,0,23670,0,
8,STD-259,2222,-25,"48HR, 72HR",STD-259,20230608,160701,8,2080,3,23,0,-22,0,0,23665,0,
9,STD-046,222,2756.6,"48HR, 72HR",STD-046,20230608,162202,9,216,1,9,0,2704,12,0,23591,0,
10,STD-305,222,-25,"48HR, 72HR",STD-305,20230608,163703,10,126,1,1,0,3,3,0,23649,0,
11,STD-041,1333,902.2,"48HR, 72HR",STD-041,20230608,165204,11,1293,2,30,0,1054,0,0,23600,0,
1,STD-041,222,-25,72HR,STD-041,20230616,142139,1,181,12,2,0,-8,1,1,27688,0,
2,STD-191,2222,902,72HR,STD-191,20230616,143640,2,1106,30,22,1,767,12,1,27625,0,
3,STD-234,1333,-25,72HR,STD-234,20230616,145140,3,770,17,9,0,-16,1,1,27640,0,
4,STD-290,1333,1829,72HR,STD-290,20230616,150641,4,880,24,27,1,1709,41,1,27668,0,
5,STD-305,222,1829,72HR,STD-305,20230616,152141,5,209,12,6,0,1373,139,0,27669,0,
6,STD-850,667,902,72HR,STD-850,20230616,153642,6,376,3,7,0,675,41,0,27688,0,
7,STD-972,2222,2757,72HR,STD-972,20230616,155143,7,1363,55,53,3,2449,40,0,27680,0,
8,STD-260,222,2757,72HR,STD-260,20230616,160644,8,220,12,7,0,1925,202,0,27664,0,
