Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
0912O_13CP_CHCl,19.777,834,0.13,0.37202,15.67,717,0.60,-22.82,1.08068
0211O_13CP_nofum,20.347,0,,,,128,0.10,-23.73,1.07969
Blank_nofum,19.7675,0,,,,0,,,
0912O_12CP_CHCl,19.9685,751,0.11,0.37236,16.61,568,0.47,-25.83,1.07738
0115O_12CP_nofum,20.5005,83,0.01,0.37610,26.84,360,0.29,-27.44,1.07563
0615O_12CP_CHCl,20.271,"1,168",0.17,0.36825,5.33,"1,773",1.48,-28.23,1.07477
1107O_13CP_nofum,19.2245,119,0.02,0.37416,21.54,308,0.26,-23.67,1.07976
0912O_12CP_nofum,20.7845,674,0.10,0.37245,16.84,371,0.29,-25.97,1.07723
0713O_13CP_nofum,19.8405,538,0.08,0.37036,11.12,333,0.27,-21.11,1.08256
0713O_12CP_nofum,20.1025,437,0.07,0.37127,13.62,"1,397",1.17,-13.28,1.09112
0103O_13CP_nofum,19.243,79,0.02,0.37198,15.57,209,0.18,-21.83,1.08176
0605O_13CP_CHCl,19.8815,308,0.05,0.36866,6.45,447,0.37,-19.57,1.08423
0512O_13CP_CHCl,19.4745,693,0.11,0.36819,5.17,931,0.81,-24.64,1.07869
0202O_13CP_nofum,20.6675,0,,,,0,,,
0308O_12CP_nofum,20.4695,391,0.06,0.37020,10.69,195,0.16,-20.97,1.08271
0308O_12CP_CHCl,20.2275,329,0.05,0.37083,12.41,207,0.17,-25.17,1.07811
0912O_13CP_nofum,20.078,619,0.09,0.37186,15.21,352,0.30,-23.88,1.07953
0808O_12CP_CHCl,19.625,340,0.05,0.36721,2.50,458,0.40,-24.17,1.07921
1205O_12CP_CHCl,20.4765,277,0.04,0.36893,7.19,550,0.46,-25.69,1.07754
0713O_13CP_CHCl,20.8345,632,0.09,0.36847,5.94,452,0.37,-20.94,1.08274
0103O_13CP_CHCl,20.496,164,0.03,0.37033,11.02,428,0.35,-20.93,1.08274
0416O_12CP_CHCl,19.9095,605,0.09,0.36751,3.30,966,0.82,-25.21,1.07807
0211O_12CP_nofum,19.8225,0,,,,121,0.10,-25.57,1.07768
1211O_13CP_CHCl,20.866,184,0.03,0.36868,6.51,278,0.23,-19.36,1.08447
0512O_12CP_CHCl,19.576,749,0.11,0.36852,6.06,839,0.73,-27.51,1.07555
Blank_nofum,19.7675,0,,,,0,,,
0916O_12CP_CHCl,19.7015,688,0.11,0.36994,9.97,516,0.44,-8.70,1.09612
0808O_13CP_CHCl,19.0845,197,0.03,0.36991,9.88,298,0.26,-17.62,1.08637
0905O_12CP_CHCl,20.374,567,0.08,0.36769,3.79,948,0.79,-25.57,1.07767
1015O_12CP_nofum,19.9035,405,0.06,0.36890,7.12,566,0.48,-18.77,1.08511
