Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
1015O_12CG_CHCl3,20.314,756,0.1,0.36845,5.89,639,0.57,-24.79,1.07852
1018O_13CG_nofum,29.543,971,0.09,0.36777,4.02,247,0.15,-24.91,1.0784
0402O_13CG_CHCl3,20.2175,484,0.07,0.36645,0.41,439,0.4,121.09,1.23787
0404O_13CG_nofum,20.251,774,0.1,0.36757,3.47,724,0.65,-17.99,1.08596
0103O_13CG_nofum,19.278,132,0.02,0.37084,12.43,571,0.54,-5.68,1.09943
0112O_13CG_nofum,19.758,0,,,,79,0.07,24.03,1.1319
1205O_12CG_nofum,20.2765,77,0.01,0.36967,9.23,341,0.31,-24.73,1.07859
0211O_13CG_nofum,19.7055,0,,,,92,0.09,-7.49,1.09745
0115O_13CG_nofum,10.259,58,0.02,0.36957,8.94,166,0.3,-24.31,1.07905
0211O_12CG_CHCl3,20.025,77,0.01,0.36871,6.59,152,0.14,-26.34,1.07683
Blank_R2_CHCl3,38.4695,0,,,,0,,,
1211O_13CG_nofum,19.588,65,0.01,0.36965,9.18,161,0.16,-19.34,1.08448
0512O_13CG_CHCl3,19.915,789,0.11,0.36827,5.4,763,0.71,111.21,1.22709
0811O_12CG_CHCl3,19.7765,235,0.04,0.3682,5.2,365,0.34,-25.66,1.07758
0916O_13CG_nofum,19.5355,466,0.07,0.3716,14.51,140,0.14,-17.3,1.08672
0304O_13CG_nofum,20.5205,82,0.01,0.3654,-2.48,114,0.1,-11.4,1.09317
0807O_13CG_nofum,19.929,0,,,,69,0.07,-3.64,1.10166
0112O_12CG_CHCl3,19.485,75,0.01,0.37016,10.58,255,0.25,-25.38,1.07788
1115O_13CG_nofum,19.8905,63,0.01,0.37041,11.25,234,0.23,-25.7,1.07753
0308O_13CG_nofum,20.0615,251,0.04,0.3726,17.26,52,0.05,-15.46,1.08873
0512O_12CG_CHCl3,20.196,762,0.1,0.36842,5.8,741,0.69,-26.56,1.07659
0811O_13CG_CHCl3,20.037,181,0.03,0.36881,6.88,305,0.28,55.4,1.16618
0811O_12CG_nofum,20.325,105,0.02,0.37107,13.05,174,0.16,-25.81,1.07741
0316O_12CG_nofum,20.331,67,0.01,0.36856,6.19,116,0.11,-26.79,1.07634
1211O_12CG_CHCl3,19.8495,171,0.02,0.36917,7.84,234,0.22,-22.9,1.0806
1109O_12CG_nofum,19.924,67,0.01,0.36969,9.28,210,0.21,-26.47,1.07669
0404O_12CG_nofum,20.014,982,0.14,0.36838,5.69,226,0.21,-23.58,1.07985
0905O_12CG_nofum,19.8825,109,0.02,0.36819,5.18,369,0.35,-27.1,1.076
1005O_12CG_CHCl3,19.725,362,0.05,0.36862,6.35,531,0.51,-24.34,1.07902
0912O_12CG_CHCl3,20.0815,706,0.1,0.37054,11.6,438,0.4,-25.47,1.07778
1107O_13CG_nofum,20.4245,530,0.07,0.37094,12.7,"1,305",1.16,-14.06,1.09026
0716O_13CG_nofum,19.1805,167,0.02,0.37032,11.01,141,0.13,-24.7,1.07863
0607O_13CG_CHCl3,19.713,347,0.05,0.36766,3.72,311,0.28,37.99,1.14716
0807O_12CG_CHCl3,19.6135,64,0.01,0.37212,15.93,128,0.12,-22.19,1.08137
0508O_12CG_nofum,20.271,51,0.01,0.37016,10.56,104,0.09,-24.16,1.07922
0605O_13CG_CHCl3,20.6265,274,0.04,0.36799,4.61,393,0.35,110.38,1.22618
1213O_13CG_nofum,19.626,517,0.07,0.37104,12.99,252,0.23,-15.04,1.08919
0308O_13CG_CHCl3,19.722,280,0.04,0.37198,15.56,138,0.13,179.79,1.30183
Blank_R2_nofum,39.0145,0,,,,0,,,
1109O_12CG_CHCl3,20.329,387,0.05,0.36843,5.83,607,0.57,-20.01,1.08376
0103O_12CG_nofum,19.706,79,0.01,0.36881,6.86,154,0.14,-23.59,1.07984
0218O_13CG_nofum,20.074,66,0.01,0.36928,8.15,160,0.15,-25.21,1.07806
0508O_12CG_CHCl3,20.176,90,0.01,0.36865,6.43,147,0.14,-25.07,1.07822
1018O_12CG_nofum,20.155,311,0.04,0.36583,-1.29,837,0.8,-14.96,1.08928
0808O_13CG_CHCl3,19.7485,284,0.04,0.36837,5.67,374,0.36,122.3,1.23919
0607O_12CG_nofum,20.2945,236,0.03,0.36794,4.5,204,0.2,-17.84,1.08612
0713O_12CG_nofum,20.196,616,0.08,0.36955,8.91,273,0.26,-19.6,1.0842
0706O_13CG_nofum,19.9285,311,0.04,0.3695,8.77,163,0.15,-14.8,1.08946
1115O_12CG_nofum,19.7005,74,0.01,0.37013,10.5,278,0.26,-26.96,1.07615
0202O_13CG_CHCl3,19.8815,0,,,,0,,,
0916O_13CG_CHCl3,19.5535,722,0.11,0.37045,11.37,482,0.46,116.19,1.23252
0112O_12CG_nofum,20.993,0,,,,84,0.07,-22.33,1.08122
0706O_12CG_CHCl3,20.3695,455,0.06,0.37003,10.21,272,0.26,-20.4,1.08333
0515O_13CG_nofum,19.578,214,0.03,0.37018,10.61,602,0.58,-13.89,1.09044
0515O_12CG_CHCl3,19.7,287,0.04,0.36992,9.91,551,0.51,-27.32,1.07576
0713O_13CG_CHCl3,19.5055,562,0.08,0.37013,10.49,335,0.32,64.1,1.17567
0218O_12CG_nofum,19.804,72,0.01,0.37066,11.94,231,0.21,-27.52,1.07554
0706O_13CG_CHCl3,19.624,377,0.05,0.36994,9.96,198,0.19,34.79,1.14367
0103O_12CG_CHCl3,20.7245,153,0.02,0.37019,10.64,423,0.37,-20.22,1.08352
0905O_12CG_CHCl3,19.7565,647,0.09,0.37019,10.66,"1,104",1.02,-25.51,1.07774
0402O_13CG_nofum,19.6345,217,0.03,0.37058,11.72,209,0.19,-23.61,1.07981
0713O_12CG_CHCl3,19.6125,707,0.1,0.37293,18.15,426,0.39,-22.5,1.08103
1205O_12CG_CHCl3,19.735,309,0.04,0.37197,15.52,613,0.57,-25.64,1.0776
0905O_13CG_CHCl3,19.852,527,0.08,0.37049,11.49,744,0.69,90.78,1.2048
1115O_13CG_CHCl3,20.0445,535,0.07,0.37021,10.69,"1,012",0.92,22.98,1.13076
Blank_R2_CHCl3,40.952,0,,,,0,,,
1211O_13CG_CHCl3,19.7595,235,0.03,0.37303,18.42,331,0.31,89.67,1.20358
0912O_12CG_nofum,19.7385,680,0.1,0.37337,19.38,319,0.29,-26.01,1.0772
0808O_12CG_CHCl3,20.4025,458,0.06,0.37011,10.42,558,0.51,-25.96,1.07725
0605O_13CG_nofum,20.8625,0,,,,152,0.13,-22.89,1.08061
0416O_12CG_CHCl3,19.7365,550,0.08,0.36932,8.28,796,0.77,-24.31,1.07906
1005O_13CG_nofum,19.7455,328,0.05,0.37087,12.52,513,0.5,-20.21,1.08354
0218O_13CG_CHCl3,20.205,389,0.05,0.37017,10.6,583,0.53,46.6,1.15657
0304O_12CG_CHCl3,19.733,136,0.02,0.37338,19.4,370,0.35,-19.31,1.08452
0916O_12CG_nofum,20.275,559,0.08,0.37261,17.29,188,0.17,-25.83,1.07739
0202O_13CG_nofum,19.839,0,,,,0,,,
1213O_12CG_nofum,19.885,274,0.04,0.37686,28.94,188,0.18,-22.05,1.08153
0304O_13CG_CHCl3,19.833,155,0.02,0.37333,19.25,317,0.29,126.56,1.24383
0807O_12CG_nofum,20.203,0,,,,67,0.06,-3.26,1.10207
0905O_13CG_nofum,20.075,146,0.02,0.37426,21.81,368,0.35,-24.21,1.07917
1005O_13CG_CHCl3,19.711,380,0.05,0.37123,13.49,552,0.52,1.99,1.10781
0416O_13CG_nofum,19.795,127,0.02,0.37548,25.14,339,0.34,-23.32,1.08014
0512O_12CG_nofum,20.256,267,0.04,0.37357,19.91,277,0.25,-29.21,1.07369
0218O_12CG_CHCl3,19.627,247,0.04,0.3728,17.8,390,0.37,-26.28,1.07689
1211O_12CG_nofum,19.65,0,,,,110,0.11,-27.81,1.07523
0607O_13CG_nofum,20.7305,322,0.04,0.37273,17.62,"1,095",0.99,-18.21,1.08573
0404O_12CG_CHCl3,19.664,980,0.13,0.37042,11.28,314,0.3,-23.32,1.08014
0706O_12CG_nofum,20.2735,265,0.04,0.37458,22.69,132,0.12,-18.11,1.08583
0716O_12CG_CHCl3,20.051,411,0.06,0.37366,20.17,343,0.31,-24.49,1.07886
0304O_12CG_nofum,20.0015,63,0.01,0.38281,45.24,126,0.11,-25.34,1.07792
0912O_13CG_nofum,20.0805,784,0.11,0.37274,17.64,353,0.32,-13.03,1.09139
0404O_13CG_CHCl3,19.625,"1,002",0.14,0.37036,11.11,352,0.33,123.82,1.24084
0508O_13CG_nofum,19.6675,52,0.01,0.38823,60.1,116,0.11,48.94,1.15912
0605O_12CG_nofum,20.326,0,,,,162,0.15,-21.25,1.0824
0512O_13CG_nofum,19.8825,318,0.05,0.37358,19.95,366,0.33,-25.33,1.07794
Blank_CHCl3,39.814,0,0.32,0.36612,-0.51,0,,,
0615O_13CG_nofum,19.378,89,0.01,0.37927,35.53,487,0.46,-25.83,1.07739
0402O_12CG_nofum,19.7905,226,0.03,0.37006,10.29,199,0.19,-24,1.07939
0103O_13CG_CHCl3,20.61,157,0.02,0.37641,27.7,276,0.24,67.26,1.17912
0402O_12CG_CHCl3,20.2475,415,0.06,0.36878,6.79,363,0.33,-24.13,1.07925
0912O_13CG_CHCl3,19.8655,869,0.12,0.37193,15.42,534,0.49,27.48,1.13568
0202O_12CG_CHCl3,19.868,0,,,,0,,,
0605O_12CG_CHCl3,19.4035,349,0.05,0.371,12.87,458,0.44,-24.85,1.07846
0916O_12CG_CHCl3,19.6625,656,0.1,0.37226,16.33,408,0.38,-24.67,1.07865
0811O_13CG_nofum,20.317,92,0.01,0.38151,41.67,167,0.15,-17.92,1.08604
0515O_13CG_CHCl3,20.383,273,0.04,0.3747,23.01,490,0.45,15.5,1.12258
1015O_13CG_nofum,19.9095,549,0.08,0.37086,12.49,347,0.32,-23.49,1.07995
1005O_12CG_nofum,19.667,293,0.04,0.36971,9.33,506,0.45,-23.85,1.07955
0211O_13CG_CHCl3,19.2835,76,0.01,0.37415,21.49,206,0.19,19.73,1.12721
0115O_12CG_nofum,20.784,74,0.01,0.37466,22.9,259,0.22,-28.38,1.0746
0515O_12CG_nofum,20.276,174,0.02,0.37188,15.28,435,0.38,-23.64,1.07979
0416O_12CG_nofum,19.582,114,0.02,0.37185,15.2,499,0.45,-24.56,1.07878
